state_code,avg_newspapers_per_county_by_state
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
56,1.782608696
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
55,2.875
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
54,1.218181818
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
53,3.307692308
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
51,0.69924812
50,2.642857143
50,2.642857143
50,2.642857143
50,2.642857143
50,2.642857143
50,2.642857143
50,2.642857143
50,2.642857143
50,2.642857143
50,2.642857143
50,2.642857143
50,2.642857143
50,2.642857143
50,2.642857143
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
49,1.103448276
